,scene_text
0,"[' ( Brass and Sofia stand around a dead body while Grissom crouches down to examine it closer . )', ' [[Brass]] so , the gang unit says our d.b', ' [[Brass]] is a sixteen-year-old tyson plummer', ' [[Sofia_Curtis]] how many holes in the victim ?', ' [[Grissom]] i count four', ' [[Sofia_Curtis]] eleven shell casings', ' [[Sofia_Curtis]] shooter emptied the gun -- so he was moving and shooting', ' [[Sofia_Curtis]] only hit the vic four times', ' [[Grissom]] she talks to herself', ' [[Brass]] hey , it works for me', ' [[Sofia_Curtis]] bullets that missed hit the outside building wall', ' ( She turns and looks back at the gun holes in the outside building wall . )', ' [[Kid_1]] hey , man , what ya doing in my back alley !', "" ( Greg is standing on the side mapping the area when the kid 's shouts draw his attention . )"", ' ( On the sidewalk , he sees two kids playing near the trash . )', ' ( One kid holds out his hand as if holding a gun at the other kid . )', ' [[KIDN_1]] bang , bang , bang , bang', "" [[Kid_2]] man , you know andre did n't cap him like that"", ' ( Greg ducks under the crime scene tape and makes his way toward the two kids who continue arguing . )', ' [[Kid_1]] did too', ' [[Kid_2]] did not !', ' [[Kid_1]] did too !', ' [[Kid_2]] how you gon na tell me ?', ' [[Kid_1]] i saw him', ' [[Greg]] hey , guys , can i talk to you for a sec ?', ' [[Kid_2]] run !', ' ( The two kids turn , see Greg and run . )', ' ( Greg continues to walk slowly toward them . )', ' [[Greg]] i just want to ask you a few questions', ' ( The older kid turns and bumps into the trash bin He falls , scrambles to his feet and runs . )', "" ( Greg does n't chase after them . )"", ' [[Kid_2]] yo man !', ' [[Kid_2]] wait up !', ' ( The kids disappear down the block . )', ' ( Greg turns and sees something disturbing . )', ' ( He kneels down to get a better look at a dead body in a trash bin )', ' ( The dead child is rail thin and shoved into the trash bin )', ' ( Greg dials his phone . )', ' [[Greg]] grissom', ' [[Grissom]] go ahead , greg', ' [[Greg]] we got a young male d.b', ' [[Greg]] by the dumpster', "" [[Grissom]] i 'll be right there"", ' ( Grissom glances at Brass . )', ' ( He walks over to the dumpster where Greg is standing . )', ' ( At the crime scene tape surrounding the empty lot , a young man ducks under it . )', ' ( The officer guarding the tape tries to stop him . )', ' [[Officer]] hey , hey !', "" ( He knocks the officer 's hands away . )"", ' [[Leo_Plummer]] get your damn hands off me !', ' ( Sofia turns around to look at the disturbance . )', ' ( Brass approaches the officer and Leo Plummer . )', ' [[Brass]] whoa , whoa', "" [[Brass]] i ca n't let you touch him"", "" [[Brass]] what 's your name ?"", ' ( The young man gets a look at the dead body on the ground and he gasps . )', "" [[Leo_Plummer]] i 'm plummer"", ' [[Leo_Plummer]] leo', "" [[Leo_Plummer]] that 's my brother right there"", "" [[Leo_Plummer]] they did n't have to do him like that , dawg"", ' [[Brass]] i know you know who did this , leo', "" [[Leo_Plummer]] ai n't your problem , man"", ' [[Leo_Plummer]] whoever did this is gon na get got', "" [[Brass]] oh , no , do n't say stuff like that"", ' [[Brass]] because only two things can happen : you in shackles or you on a slab', "" [[Brass]] so , let 's break the odds this time"", ' [[Brass]] what do you say ?', ' [[Leo_Plummer]] you done with me , bacon ?', "" [[Leo_Plummer]] 'cause i got family to go bury"", ' ( Leo turns and heads back to the crime scene tape . )', ' ( Brass turns and heads back to the body . )', ' [[Brass]] yeah', "" ( Near the tape , there 's a disturbance as voices rise . )"", ' ( Camera whirls around and we see another young man running through the crowd toward Leo Plummer . )', "" ( He pulls out a gun and fires at Leo Plummer 's back . )"", ' ( Leo is shot point blank several times in the back . )', ' ( Grissom is examining the body and is startled by the gunshots . )', ' ( He looks up . )', ' ( Greg moves to take cover behind the dumpster . )', ' ( A woman screams as the gunshots end . )', ' ( The young man with the gun takes off running . )', ' ( The crowd disburses . )', ' [[Officer]] this is lincoln three', "" [[Officer]] we 've got a four-fifteen-a on scene"", ' ( Grissom watches as Sofia takes off running after the suspect alongside several other officers . )', ' ( Grissom looks at Greg . )', ' [[Grissom]] you okay ?', "" [[Greg]] hell no , i 'm not okay"", "" [[Greg]] who the hell 's shooting at us ?"", "" [[Grissom]] i do n't know , but i think our single just turned into a triple"", ' ( Grissom stands up and heads for the newest body at the scene . )']"
2,"[' ( The door buzzes and opens for Warrick and Nick . )', ' [[Warrick]] hey', ' [[Nick]] hey , man', "" [[Det._Vartann]] what 's up ?"", ' [[Nick]] thanks', ' ( They walk through the door and meet with Det Vartann . )', ' [[Det._Vartann]] suspects wait in central holding to be processed and transferred to jail', ' [[Det._Vartann]] they assaulted the officers with feces and then the cops went in', ' [[Nick]] great', ' [[Warrick]] to bust some heads', ' ( The closer they get , the smellier it gets . )', ' ( On the floor are the brown feces stains . )', "" [[Nick]] hoo ... so , you 've got a samuel mendez with a cracked skull listed as death imminent , right ?"", ' ( They stop in front of the cell with the crime scene taped around it . )', ' [[Det._Vartann]] yeah', "" [[Det._Vartann]] it 's why they kicked it up to homicide"", ' [[Warrick]] you think the cops used excessive force here ?', ' ( Nick puts his case down and walks over to the empty cell . )', "" [[Det._Vartann]] well , if they did it 's mitigating circumstances"", ' [[Warrick]] yeah', ' ( The officer removes the tape to open the cell . )', ' ( Nick looks at the mess on the wall . )', "" [[Nick]] yeah , well , if they'd 've thrown a bunch of feces at me , i would have cracked some skulls too"", "" ( On the middle of the bare floor , there 's a gun . )"", "" [[Nick]] this is the last place i thought i 'd see a gun"", ' [[Det._Vartann]] it was found under the victim', ' [[Nick]] could be his', ' [[Warrick]] arresting officer must have done a lousy search', ' ( Warrick puts a ruler down and snaps a photo of the gun . )', ' ( Nick stands up and looks around the small cell at the mess . )', ' [[Nick]] wow ... this is a lot of crap', ' [[Nick]] what , did they squat on cue ?', ' [[Warrick]] overflowing toilet', "" [[Warrick]] there 's enough ammunition right there"", ' [[Nick]] so , the cops bust in to get the prisoners under control when they start throwing raw sewage ?', ' ( Quick flash of : The prison cell doors open and the guards enter . )', ' ( The fight between the guards and the prisoners starts . )', ' ( End of flash . )', ' ( Resume to present . )', ' [[Warrick]] well , there must have been some real bad asses in here', ' [[Warrick]] looks like it got pretty heated']"
3,"[' ( The prisoners are lined up in a row . )', "" ( They 're all wearing towels and carrying their clothes . )"", ' [[Overhead]] ... security officers for lockdown debriefing', ' ( An officer puts a package on the car next to the other packages . )', ' ( The next prisoner steps up to Nick . )', ' [[Nick]] you want to tell me what happened here ?', ' ( The prisoner has a large bruise around his left eye . )', ' [[Prisoner_1]] cops iced the kid', ' [[Prisoner_1]] what else you want to know ?', ' ( Nick takes a photo of the prisoner . )', ' [[Prisoner_1]] could tell he was a fish from the jump , though', ' [[Nick]] a fish ?', ' ( Nick snaps another photo . )', ' [[Prisoner_1]] new to the game', ' ( The officer takes his boots . )', ' [[Officer]] you want to go to the hold , boy ?', ' ( The next prisoner steps up and spits in front of Nick into something off screen . )', ' ( Nick stares up at the very tall Prisoner 2 . )', ' [[Prisoner_2]] what ?', ' ( The prisoner hands the guard his shoes . )', ' ( Nick takes a couple of photos . )', ' [[Nick]] you see what happened ?', ' ( Prisoner 3 is sporting a large bruise on his left eye , which is shut from the swelling . )', ' [[Prisoner_3]] the po-po gutted the fish', ' [[Prisoner_3]] i saw the whole thing', ' [[Prisoner_3]] same thing they did to me', ' [[Prisoner_3]] two beatings in one day', ' [[Prisoner_3]] rodney king , yo', ' ( Nick snaps a photo of Prisoner 3 . )']"
4,"["" ( Catherine is standing next to the victim 's bed . )"", ' ( The victim is hooked up to a lot of machines - still alive , but barely . )', ' ( Next to the bed , she has a camera set up on a tripod . )', "" ( She holds the ruler against the injuries on the victim 's head and snaps a couple of photos of it . )"", "" [[Dr._Franks]] i 'm sorry , uh , who are you ?"", "" [[Catherine]] i 'm catherine willows"", "" [[Catherine]] i 'm with the crime lab"", ' [[Dr._Franks]] oh', "" [[Dr._Franks]] i 'm dr franks , attending"", ' [[Dr._Franks]] have you located his family yet ?', ' [[Catherine]] no', ' [[Dr._Franks]] i need to find someone to sign a release , take him off the ventilator', "" [[Catherine]] he 's brain dead ?"", ' [[Dr._Franks]] oh , yeah', "" [[Dr._Franks]] i 'm hoping the family will donate his organs"", ' [[Catherine]] tell me about his injuries', "" [[Dr._Franks]] he 's got blunt-force trauma to the frontal and sphenoid bones"", ' ( Quick flashback to : The victim is punched in the face . )', ' ( End of flashback . )', ' [[Dr._Franks]] it fragmented his skull , damaged his temporal arteries and imbedded in his brain', ' ( Quick CGI POV : The brain cuts and blood spills out . )', ' ( End of CGI POV . )', ' ( Quick flash to : The victim falls to the ground with blood running down his face . )', ' ( End of flash . )', ' [[Catherine]] well , those are shoe prints on his face , which suggests that he was attacked while he was down', ' ( Quick flash of : The victim is already down on the ground . )', ' ( Someone stomps on him with the heel of his boot . )', ' ( End of flash . )', ' [[Dr._Franks]] well , he came from county lock-up', ' [[Dr._Franks]] must have been a hell of a fight']"
5,"[' ( The lid is removed from the rubber bin Sara holds the flashlight above and looks into the bin at the dead boy . )', "" ( She sees some blond-colored hair on the boy 's jeans . )"", "" ( David Phillips reaches into the bin to carry the boy 's body out . )"", ' ( Sara glances at Greg . )', ' ( David removes the body . )', ' ( Greg replaces the lid on the bin and removes the bin off the table . )', ' ( David puts the body on the table . )', "" ( Sara takes a tape lift of the blond-colored hair from the boy 's jeans . )"", ' ( Someone coughs . )', ' ( She puts the tape lift on the side . )', ' ( Greg examines the bin Inside , he finds some yellow powder and nail scratchings . )', ' ( He takes a sample of the powder . )', ' ( Back on the body , Sara finds another blond-colored hair strand . )', ' ( She picks it off of the jeans and puts it in a plastic baggie . )']"
6,"[' ( Robbins goes over his findings with Sara . )', ' ( He shows her the x-rays . )', "" [[Robbins]] the victim 's about five years old"", ' [[Robbins]] he was just losing his baby teeth', ' [[Robbins]] x-rays show metaphyseal fractures to the right humerus and acromion', "" [[Robbins]] they 're called corner or bucket-handle fractures"", ' [[Sara]] shake the baby ?', "" [[Robbins]] it 's more like snatch and shake"", ' [[Robbins]] violent shaking creates shearing forces , causing fragment fractures at the end of the growth plate', "" [[Robbins]] it 's highly specific for abuse"", ' ( Quick flash of : A little boy is sitting on a swing . )', ' [[Voice_(man)]] i said , get up !', "" ( A hand grabs the boy 's arms and twists . )"", "" ( Quick CGI POV to : The bones inside the boy 's arms break . )"", ' ( End of CGI POV . )', ' ( Resume to present . )', ' [[Sara]] how old do you think these fractures are ?', "" [[Robbins]] well , this kind of fracture does n't usually heal with callus you can easily see"", ' [[Robbins]] my guess , less than six months', ' ( Robbins and Sara turn back to the body . )', ' ( Robbins pulls back the sheet . )', ' [[Sara]] he is emaciated', ' [[Sara]] he looks drawn', ' [[Sara]] the only thing missing is a swollen belly', "" [[Robbins]] it 's called cachexia"", ' [[Robbins]] the soft tissue is diminished and drawn around the skull', "" [[Robbins]] the eyes are sunken , and there 's prominent tenting where the skin should retract"", "" ( Sara touches the body 's ribs . )"", "" [[Sara]] his ribs are poking through his skin he starved to death , did n't he ?"", ' [[Robbins]] c.o.d', ' [[Robbins]] is renal failure due to starvation', ' [[Robbins]] his intestinal tract was virtually empty , except for these brown flecks i found', ' ( He hands Sara a glass container with some powder inside . )', ' ( She looks at it . )', ' [[Robbins]] hepatic steatosis , the liver goes yellow and greasy', ' [[Robbins]] ketoacidosis , fat stores are used for energy , and then rhabdomyolysis - the muscles broken down for fuel', ' [[Robbins]] think of the body as digesting itself', ' ( Quick flash to : A little boy crying . )', "" ( The camera zooms in toward the boy 's chest . )"", ' ( Quick CGI POV to : The skin on the chest dries up and stretches over his ribs . )', ' ( Camera pulls back out past the ribs ... and the clothes ... to the dead little boy in the rubber trash bin )', ' ( End of flash . )', ' ( Resume to present . )', ' [[Sara]] this took weeks', ' [[Robbins]] i have to admit , this seems especially cruel and unusual', ' [[Sara]] when kids are involved , it usually is']"
10,"[' ( Sara and Robbins are scanning x-rays into the computer . )', "" [[Sara]] i went through child abuse cases , looking for a match to the victim 's age and fracture"", ' [[Sara]] i pulled the x rays of our most likely candidates', ' [[Robbins]] sinus identification is as reliable as fingerprints', ' [[Robbins]] sinuses are unique ; they have distinct , scalloped edges', ' ( He pulls up the head x-ray of the victim and outlines the sinus cavity . )', ' ( He compares it to the other x-rays . )', ' ( The computer beeps : NO MATCH . )', ' [[Sara]] no match', "" [[Robbins]] it 's harder to identify children this way because they , uh , develop so quickly"", ' ( The computer beeps : NO MATCH . )', ' ( The computer beeps : POSITIVE MATCH . )', ' [[Sara]] this is it', ' [[Robbins]] bingo', ' [[Robbins]] yep', ' [[Robbins]] frontal and ethmoid sinuses line up perfectly', ' ( Sara gets the file folder to get the name of the victim . )', ' [[Sara]] devon malton , age five , last known residence was a foster home run by a lorna tenney']"
14,"[' ( The victim is still on the ventilator . )', ' ( Dr Franks talks with Mr Mendez , the father of Samuel Mendez . )', ' ( Catherine walks up to the two men talking in the hallway . )', "" [[Mr._Mendez]] i 'm sorry , doctor"", "" [[Mr._Mendez]] i ca n't donate his organs"", ' [[Dr._Franks]] i assure you your son has no brain activity , mr mendez', "" [[Dr._Franks]] he 's gone"", "" [[Mr._Mendez]] no , no , you do n't understand"", "" [[Mr._Mendez]] i do n't know who that is in there , but it 's not my son"", ' [[Catherine]] mr mendez', "" [[Catherine]] i 'm catherine willows , with the las vegas crime lab"", ' [[Catherine]] are you sure ?', "" [[Mr._Mendez]] look , i 've been waiting for this phone call a long time"", "" [[Mr._Mendez]] my kid took a wrong turn somewhere -- maybe it 's my fault , i do n't know -- but somebody 's boy is in that bed and he 's not mine"", ' ( Mr Mendez leaves . )', ' ( Dr Franks turns and looks at Catherine . )', "" [[Dr._Franks]] either he ca n't accept reality or the county made a big mistake"", "" [[Catherine]] well , there 's only one way to find out"", "" [[Catherine]] i 'll have to take his prints""]"
15,"[' ( Catherine scans in a print into the computer for: )', ' ( She compares it to a second print on File for: )', ' ( The computer beeps : NO MATCH . )', ' ( Catherine pulls up the photo and information on SAMUEL MENDEZ . )', ' ( Among the information , there is an )', ' ( Catherine looks at the photos of the two men . )']"
19,"[' ( Sofia walks into the lab where Greg is working on the rubber trash bin )', ' [[Sofia_Curtis]] heard you found a print on the bin', ' [[Greg]] i did', ' [[Greg]] under the lip curve', "" ( Camera zooms in under the bin 's lip to show the print . )"", ' ( Greg looks at Sofia . )', ' [[Sofia_Curtis]] what ?', "" [[Greg]] well , i 'm not sure what 's the best way to process the print"", ' [[Sofia_Curtis]] you take digital photos ?', ' [[Greg]] yeah', ' ( He hands her the memory card . )', ' [[Sofia_Curtis]] well , hand them over', "" [[Sofia_Curtis]] i 'll load it into the computer and reconstruct the image while you finish processing"", ' [[Greg]] what else is there left to do but run it through afis ?', "" [[Sofia_Curtis]] you 're going to need an actual print for court"", "" [[Greg]] are you saying that i 'm going to have to cut it out in order to lift it ?"", "" [[Greg]] is n't that destroying the evidence ?"", ' [[Sofia_Curtis]] no', "" [[Sofia_Curtis]] you 're recovering it"", "" [[Sofia_Curtis]] as long as you document it , you 're fine"", ' [[Greg]] oh', ' ( Various cuts of : Sofia works on the print while Greg cuts the print out of the rubber trash bin )', ' ( She transfers the digital camera image into the computer . )', ' ( Greg cuts the trash bin )', ' ( Sofia cut and copies the print . )', ' ( Greg opens a tape lift . )', ' ( He takes the sample and removes the print . )', ' ( Sofia scans the print into the computer and runs it against the database . )', ' ( She clicks on FBI DATABASE 69,235 bytes email . )', ' ( She gets aresult . )', ' ( Greg looks at the print on the tape lift . )', ' [[Greg]] well , i appreciate your help', ' [[Sofia_Curtis]] no big deal', "" [[Greg]] i do n't know if i 'd be quite as accommodating after just being"", ' ( She turns around and looks at him . )', ' ( He shrugs . )', ' [[Greg]] well , you know', ' [[Sofia_Curtis]] demoted ?', ' [[Greg]] yeah', ' ( Sofia turns around back to the computer . )', ' [[Sofia_Curtis]] no hit in afis', "" [[Sofia_Curtis]] i 've widened the search"", "" [[Sofia_Curtis]] i 've got an fbi database hit"", ' ( Greg stands up and walks over to her . )', ' [[Sofia_Curtis]] your print belongs to an enlisted man', ' [[Sofia_Curtis]] private first class phillip riley']"
22,"[' ( Mia takes out the gun from the evidence bag . )', ' ( She pulls the hammer back . )', ' ( The camera zooms in for a close-up of the skin and hair caught on the metal . )', ' ( Mia removes the strand of hair and takes a swab of the flesh . )']"
25,"[' ( Catherine meets with Warrick and Nick . )', ' [[Catherine]] we now know the cops were not responsible , so that leaves us with thirty-four suspects , all with rap sheets', ' [[Catherine]] is there anything to narrow the focus ?', ' [[Warrick]] well , i compared all thirty-four pairs -- i came up with one sole pattern', ' [[Warrick]] ... and one suspect -- vincent mendoza ... booked for meth manufacture', ' [[Catherine]] well , the official c.o.d', ' [[Catherine]] was blunt force trauma to the head , not stomping', "" [[Warrick]] well , it 's not unreasonable to think the same guy that caused the blunt force trauma can also stomp him"", ' [[Catherine]] well , that all sounds good , but why go to all that trouble ?', ' [[Nick]] because the gun was hot', ' [[Nick]] ran it though ibis', ' [[Nick]] it was used in an execution-style murder', ' [[Catherine]] the last thing the guy wanted to do was to get caught with a gun that had a body on it', ' [[Warrick]] yeah , well , this victim looks like the perfect patsy to drop a gun on', ' ( Nick picks up the photo of the victim with the shoe print and looks at it . )', ' [[Nick]] yeah ... little fish in a tank full of sharks']"
26,"[' ( COMMERCIAL BREAK )', ' ( Det Vartann and Warrick interview Vincent Mendoza with his lawyer , Margaret Finn , next to him . )', "" [[Margaret_Finn]] what 's on the table , gentlemen ?"", ' [[Det._Vartann]] murder , two counts', ' [[Warrick]] your client killed a man in a holding cell and tried to frame the cops for it', "" [[Vincent_Mendoza]] that 's bull and you know it"", ' [[Margaret_Finn]] shh', "" [[Margaret_Finn]] let 's hear the corroborating evidence , and it 'd better be good"", ' [[Det._Vartann]] mr mendoza was hooked in a raid on a meth lab', ' [[Det._Vartann]] problem was , he was carrying a concealed weapon and had no time to ditch it', ' [[Warrick]] he dropped the weapon down his pants , planned to get rid of it in central holding before the cavity search', "" [[Margaret_Finn]] so far , i 'm not hearing anything you can actually prove"", "" [[Warrick]] well , i 'm sure vincent here knew a lot of people inside since he is a repeat offender"", "" [[Warrick]] but only one man did n't fit , huh ?"", "" [[Warrick]] fear must 've been rolling off him in waves so strong you could probably smell it"", ' ( Quick flashback to : [_CENTRAL_HOLDING_] Vincent Mendoza watches as the guard walks down the corridor toward them . )', ' ( He walks to the back of the cell and unzips his pants where he removes the revolver . )', ' ( On the bench , Sam Mendez turns and glances nervously at him . )', ' [[Vincent_Mendoza]] what you looking at , huh ?', ' [[Sam_Mendez]] nothing', ' [[Sam_Mendez]] nothing', "" [[Vincent_Mendoza]] i said , what 're you looking at , mark ?"", ' [[Sam_Mendez]] nothing', ' [[Sam_Mendez]] nothing', ' ( Vincent Mendoza grabs Sam and slams him against the wall . )', ' ( He starts bashing his head against the toilet . )', ' ( He tosses him to the ground and drops the gun intentionally on the ground near the body . )', ' ( He stomps on Sam Mendez . )', ' [[Inmate]] 911 !', ' [[Inmate]] 911 , man ! \\', ' ( A fight breaks out in the small cell . )', ' ( End of flashback . )', ' ( Resume to present . )', ' ( Vincent Mendoza looks at Warrick and chuckles . )', ' [[Vincent_Mendoza]] typical', ' [[Vincent_Mendoza]] knew you guys would try to pin this on me', "" [[Vincent_Mendoza]] i was n't anywhere near the fish"", ' [[Det._Vartann]] you sure about that ?', "" [[Vincent_Mendoza]] that 's what i said , is n't it ?"", "" [[Warrick]] well , it 's good to know , since your boot prints were found on the victim 's head"", "" [[Det._Vartann]] see , you did n't want to get caught with a gun used in another homicide"", ' [[Det._Vartann]] a meth dealer , your partner , was found in the desert two weeks ago', "" [[Margaret_Finn]] any one of those guys could 've carried a gun into the holding cell"", "" [[Warrick]] it 's not likely , unless you can explain how vincent here got his pubic hair and feces caught in the gun 's hammer"", ' [[Margaret_Finn]] give us some time', "" [[Warrick]] how 's twenty-five to life sound ?""]"
27,"[' ( Brass and Sara walk into the strip joint . )', ' ( They walk over to a woman in the back . )', ' [[Divine]] forty buys the lips , a hundy gets you south', ' [[Divine]] goes double for around the world', "" ( The guy she 's with nods . )"", ' [[Divine]] you got a car ?', ' [[Divine]] you sure about that ?', ' [[Guy]] mm-hmm', "" [[Divine]] 'cause you do n't look like you got a car to me"", ' ( Brass walks up to them and points to his badge on his jacket pocket . )', ' [[Brass]] take a hike , john', "" [[Brass]] i 'm her next appointment"", "" ( The guy she 's with leaves . )"", "" [[Divine]] i did n't do nothing but sit here , officer"", ' [[Brass]] on your feet', ' ( She gets to her feet . )', "" [[Divine]] ca n't believe you 're gon na ruin my day for this"", "" [[Divine]] you do n't have enough to charge me with solicitation"", "" ( Sara reaches out and touches Divine 's blond hair . )"", ' ( Divine pulls away . )', ' [[Divine]] hey !', ' [[Divine]] watch it , bitch', "" [[Sara]] it 's a wig , hair is consistent"", ' [[Sara]] could you open your mouth for me , please ?', ' [[Brass]] come on , you can do that in your sleep , honey', "" [[Brass]] open up or we 'll have to stick you with a needle"", ' ( Divine rolls her eyes and opens her mouth . )']"
29,"[' ( Brass and Divine sit across the table from each other . )', ' [[Divine]] we been sitting here a long-ass time', ' [[Brass]] what can i say ?', ' [[Brass]] i like your company', "" [[Divine]] what 'd you bring me down here for ?"", ' [[Divine]] i was only trying to make a few bucks', ' [[Brass]] yeah', ' ( Sara knocks on the door and walks in carrying a file folder . )', ' ( She slides the folder across the table toward Divine . )', "" [[Sara]] dna 's a match"", ' [[Divine]] match to what ?', ' [[Sara]] to one of your hairs that you left on the body of a little boy', "" [[Divine]] i do n't know what you 're talking about"", ' [[Brass]] no ?', ' [[Brass]] i wonder why anyone would leave one kid with you much less three', ' [[Sara]] you have seven alleles in common with the dead boy', "" [[Sara]] although that 's not enough to say you 're related , it 's certainly enough to keep digging"", ' [[Brass]] you know , i ran your wants and warrants', ' [[Brass]] it kicked out some aliases', "" [[Brass]] i mean , devine 's a street name"", "" [[Brass]] but you 're also known as darlene lewis , married briefly to a grifter"", ' [[Brass]] and a.k.a', ' [[Brass]] darlene malton', "" [[Brass]] hey , that 's the same last name as the victim"", ' [[Sara]] to starve anyone is beyond me , but to do it to a child', ' [[Sara]] a relative , is unforgivable', ' ( Quick flash to : Divine empties out the rubber trash bin and puts Devon inside . )', ' ( She shoves the cover back on the bin )', ' ( End of flash . )', ' ( Resume to present . )', "" [[Divine]] was n't even like that"", ' [[Divine]] my cousin candy left me with them bad-ass kids and no money', ' [[Divine]] how am i supposed to feed them ?', "" [[Sara]] you do n't look like you 've missed any meals to me"", ' [[Divine]] know what , skinny bitch , go to hell', ' [[Divine]] i just scrape by', "" [[Brass]] if you could n't take care of them , why did n't you just turn them over to social services ?"", "" [[Divine]] i promised i would n't"", ' [[Divine]] little d got hurt last time', "" [[Divine]] she would 've killed me"", "" [[Sara]] what 's she going to do when she finds out her son is dead ?"", ' [[Divine]] i did the best i could', ' [[Brass]] okay , where are the boys now ?', ' ( Divine glances over at Sara . )', "" [[Divine]] uh-uh , you 're not gon na blame this on me"", ' [[Divine]] i want a lawyer', ' [[Brass]] you can have a lawyer after you give me the address', "" [[Brass]] but let me tell you something -- if those boys die , i 'm going to make it my business to see you get the death penalty""]"
